Fastq,Number of reads,Total length,shortest,Longest,N50,N75,AuN,Raw number of reads,% reads filtered
prinseq/756934_20181218_S_good_out_R2.fastq,"1,339,986","398,053,194",214,300,300,300,297,"1,353,787",98.98
prinseq/763742_20170925_S_good_out_R1.fastq,"309,093","92,565,942",261,300,300,300,299,"312,083",99.04
prinseq/763742_20170925_S_good_out_R2.fastq,"309,093","91,896,606",224,300,300,300,297,"312,083",99.04
prinseq/763742_20180129_S_good_out_R1.fastq,"1,096,622","328,239,815",157,300,300,300,299,"1,103,721",99.36
prinseq/763742_20180129_S_good_out_R2.fastq,"1,096,622","326,735,219",220,300,300,300,298,"1,103,721",99.36
prinseq/768745_20171123_S_good_out_R1.fastq,"662,371","198,260,047",244,300,300,300,299,"665,852",99.48
prinseq/768745_20171123_S_good_out_R2.fastq,"662,371","197,167,517",216,300,300,300,297,"665,852",99.48
prinseq/768745_20171206_S_good_out_R1.fastq,"2,015,168","603,641,183",63,300,300,300,299,"2,036,051",98.97
prinseq/768745_20171206_S_good_out_R2.fastq,"2,015,168","599,482,115",216,300,300,300,297,"2,036,051",98.97
prinseq/768745_20190228_BAL_good_out_R1.fastq,"482,618","144,362,481",245,300,300,300,299,"491,131",98.27
prinseq/768745_20190228_BAL_good_out_R2.fastq,"482,618","143,256,747",191,300,300,300,297,"491,131",98.27
prinseq/768745_20190228_S_good_out_R1.fastq,"1,363,589","408,062,866",155,300,300,300,299,"1,371,732",99.41
prinseq/768745_20190228_S_good_out_R2.fastq,"1,363,589","406,372,861",214,300,300,300,298,"1,371,732",99.41
prinseq/770560_20181211_S_good_out_R1.fastq,"1,273,600","381,123,435",238,300,300,300,299,"1,282,587",99.30
prinseq/770560_20181211_S_good_out_R2.fastq,"1,273,600","377,869,858",213,300,300,300,296,"1,282,587",99.30
prinseq/770560_20181218_S_good_out_R1.fastq,"883,754","264,678,133",247,300,300,300,299,"889,146",99.39
prinseq/770560_20181218_S_good_out_R2.fastq,"883,754","263,254,987",225,300,300,300,297,"889,146",99.39
prinseq/770560_20190109_S_good_out_R1.fastq,"2,230,192","667,327,605",108,300,300,300,299,"2,260,298",98.67
prinseq/770560_20190109_S_good_out_R2.fastq,"2,230,192","661,876,415",205,300,300,300,296,"2,260,298",98.67
prinseq/770590_20170925_S_good_out_R1.fastq,"1,322,585","395,866,207",237,300,300,300,299,"1,343,035",98.48
prinseq/770590_20170925_S_good_out_R2.fastq,"1,322,585","392,762,897",213,300,300,300,297,"1,343,035",98.48
prinseq/770590_20180115_S_good_out_R1.fastq,"1,577,340","472,147,877",211,300,300,300,299,"1,593,512",98.99
prinseq/770590_20180115_S_good_out_R2.fastq,"1,577,340","469,807,918",218,300,300,300,297,"1,593,512",98.99
prinseq/773911_20171213_S_good_out_R1.fastq,"1,173,948","351,455,826",236,300,300,300,299,"1,185,146",99.06
prinseq/773911_20171213_S_good_out_R2.fastq,"1,173,948","349,607,914",222,300,300,300,297,"1,185,146",99.06
